category,item_name,quantity,brand_preference,is_required,notes
DRESSING_ROOM,artist_dressing_room,1,,true,Private lockable well-lit
DRESSING_ROOM,band_dressing_room,1,,true,Seating for band
DRESSING_ROOM,production_office,1,,true,Table chairs power WiFi
DRESSING_ROOM,full_length_mirror,1,,true,
DRESSING_ROOM,clothes_rack,2,,true,
DRESSING_ROOM,hangers,20,,true,
DRESSING_ROOM,towels_white,12,,true,
DRESSING_ROOM,power_strips,2,,true,
BEVERAGE,bottled_water_still,24,,true,Room temperature
BEVERAGE,bottled_water_sparkling,12,,false,
BEVERAGE,coconut_water,6,,false,
BEVERAGE,fresh_juice_orange,1,,true,Quart
BEVERAGE,fresh_juice_apple,1,,true,Quart
BEVERAGE,hot_tea_selection,1,,true,Variety box
BEVERAGE,honey,1,,true,Local/organic
BEVERAGE,coffee_hot,1,,true,Fresh brewed pot
BEVERAGE,energy_drinks,6,,false,
BEVERAGE,soft_drinks_cola,6,,false,
BEVERAGE,beer_domestic,12,,false,Bottles
BEVERAGE,beer_craft,12,,false,Bottles
BEVERAGE,wine_red,2,,false,Good quality bottles
BEVERAGE,wine_white,2,,false,Chilled bottles
FOOD,fresh_fruit_platter,1,,true,Seasonal cut
FOOD,vegetable_crudites,1,,true,With hummus/dip
FOOD,cheese_platter,1,,true,Variety
FOOD,deli_tray,1,,false,Turkey ham cheese
FOOD,chips_snacks,1,,false,Assorted
FOOD,nuts_mixed,1,,false,No peanuts
FOOD,granola_bars,12,,true,
CATERING,breakfast_headcount,0,,false,
CATERING,breakfast_time,,,false,HH:MM format
CATERING,lunch_headcount,0,,false,
CATERING,lunch_time,,,false,HH:MM format
CATERING,dinner_headcount,0,,false,
CATERING,dinner_time,,,false,HH:MM format
BUYOUT,breakfast_buyout_amount,0,,false,Per person decimal
BUYOUT,lunch_buyout_amount,0,,false,Per person decimal
BUYOUT,dinner_buyout_amount,0,,false,Per person decimal
DIETARY,vegetarian_count,0,,false,
DIETARY,vegan_count,0,,false,
DIETARY,gluten_free_count,0,,false,
DIETARY,nut_allergy_count,0,,false,

---IMPORT INSTRUCTIONS (delete this section before importing)---
FIELD DEFINITIONS:
- category: DRESSING_ROOM | BEVERAGE | FOOD | CATERING | BUYOUT | DIETARY
- item_name: Item identifier (snake_case)
- quantity: Number required (integer or decimal)
- brand_preference: Preferred brand if any
- is_required: true | false
- notes: Additional notes

HOW TO USE:
1. Update quantities for each item
2. Add brand preferences where applicable
3. Set is_required based on rider requirements
4. Delete this instruction section before importing
5. Import via ATLVS > Settings > Data Import > Hospitality
