section,item_name,item_value,is_confirmed,notes
ACCESS,venue_address,,false,
ACCESS,loading_dock_address,,false,
ACCESS,load_in_date,,false,YYYY-MM-DD format
ACCESS,load_in_time,,false,HH:MM format
ACCESS,venue_opens_time,,false,HH:MM format
ACCESS,doors_time,,false,HH:MM format
ACCESS,curfew_time,,false,HH:MM format
LOADING,number_of_docks,,false,
LOADING,dock_dimensions,,false,
LOADING,dock_height,,false,
LOADING,max_vehicle_size,,false,
LOADING,freight_elevator,,false,true | false
LOADING,distance_to_stage,,false,
STAGE,stage_width,,false,
STAGE,stage_depth,,false,
STAGE,stage_height,,false,
STAGE,wing_space_sl,,false,
STAGE,wing_space_sr,,false,
STAGE,grid_height,,false,
RIGGING,rigging_type,,false,points | beam | grid
RIGGING,number_of_points,,false,
RIGGING,point_capacity,,false,
RIGGING,trim_height,,false,
RIGGING,house_rigger_required,,false,true | false
POWER,power_available,,false,
POWER,voltage,,false,
POWER,amperage,,false,
POWER,three_phase_available,,false,true | false
POWER,camlock_available,,false,true | false
POWER,tie_in_required,,false,true | false
HOUSE,house_pa_available,,false,true | false
HOUSE,house_monitors_available,,false,true | false
HOUSE,house_lighting_available,,false,true | false
HOUSE,house_video_available,,false,true | false
CATERING,kitchen_available,,false,true | false
CATERING,breakfast_time,,false,HH:MM format
CATERING,lunch_time,,false,HH:MM format
CATERING,dinner_time,,false,HH:MM format
CATERING,crew_meal_count,,false,
PARKING,production_vehicle_count,,false,
PARKING,bus_parking_available,,false,true | false
PARKING,truck_parking_available,,false,true | false
PARKING,overnight_parking,,false,true | false
SECURITY,house_security_provided,,false,true | false
SECURITY,security_count,,false,
SECURITY,barricade_provided,,false,true | false
EMERGENCY,nearest_hospital,,false,
EMERGENCY,hospital_address,,false,
EMERGENCY,hospital_phone,,false,
EMERGENCY,first_aid_location,,false,

---IMPORT INSTRUCTIONS (delete this section before importing)---
FIELD DEFINITIONS:
- section: ACCESS | LOADING | STAGE | RIGGING | POWER | HOUSE | CATERING | PARKING | SECURITY | EMERGENCY
- item_name: Field identifier (snake_case)
- item_value: The value for this field
- is_confirmed: true | false
- notes: Additional notes or valid values

HOW TO USE:
1. Fill in item_value for each row
2. Set is_confirmed to true as items are verified
3. Add notes for special requirements
4. Delete this instruction section before importing
5. Import via ATLVS > Settings > Data Import > Venue Advance
