category,item,value,rating,notes
OVERVIEW,venue_type,,,arena | theater | club | outdoor | convention | other
OVERVIEW,capacity_seated,,,
OVERVIEW,capacity_standing,,,
OVERVIEW,capacity_mixed,,,
OVERVIEW,year_built,,,
OVERVIEW,last_renovation,,,
OVERVIEW,venue_contact,,,
OVERVIEW,venue_phone,,,
OVERVIEW,venue_email,,,
LOADING,number_of_docks,,,
LOADING,dock_door_dimensions,,,
LOADING,dock_height,,,
LOADING,max_vehicle_length,,,
LOADING,freight_elevator,,,"true | false"
LOADING,elevator_dimensions,,,
LOADING,elevator_weight_limit,,,
LOADING,distance_to_stage,,,
LOADING,path_obstructions,,,
LOADING,overnight_parking,,,"true | false"
STAGE,stage_width,,,
STAGE,stage_depth,,,
STAGE,stage_height,,,
STAGE,wing_space_sl,,,
STAGE,wing_space_sr,,,
STAGE,proscenium_width,,,
STAGE,proscenium_height,,,
STAGE,fly_system,,,"true | false"
STAGE,grid_height,,,
STAGE,trap_room,,,"true | false"
STAGE,orchestra_pit,,,"true | false"
RIGGING,rigging_type,,,points | beam | grid
RIGGING,number_of_points,,,
RIGGING,point_capacity,,,
RIGGING,point_spacing,,,
RIGGING,trim_height,,,
RIGGING,house_rigging_available,,,"true | false"
RIGGING,certified_rigger_required,,,"true | false"
RIGGING,rigging_plot_available,,,"true | false"
POWER,house_power_available,,,
POWER,main_disconnect_location,,,
POWER,three_phase_available,,,"true | false"
POWER,voltage,,,
POWER,amperage_available,,,
POWER,camlock_connections,,,"true | false"
POWER,distance_to_stage,,,
POWER,generator_parking,,,"true | false"
POWER,tie_in_required,,,"true | false"
POWER,electrician_required,,,"true | false"
AUDIO,house_pa,,,"true | false"
AUDIO,pa_type_brand,,,
AUDIO,house_console,,,"true | false"
AUDIO,console_type,,,
AUDIO,monitor_system,,,
AUDIO,delay_positions,,,
AUDIO,noise_ordinance,,,
AUDIO,curfew_time,,,
LIGHTING,house_lighting,,,"true | false"
LIGHTING,fixture_inventory,,,
LIGHTING,lighting_console_type,,,
LIGHTING,dimmer_capacity,,,
LIGHTING,follow_spots,,,
VIDEO,house_video,,,"true | false"
VIDEO,screen_positions,,,
VIDEO,projector_positions,,,
VIDEO,led_wall_mounting,,,
VIDEO,camera_positions,,,
FOH,foh_position,,,
FOH,foh_dimensions,,,
FOH,foh_distance_to_stage,,,
FOH,foh_sight_lines,,,
FOH,foh_power,,,

---IMPORT INSTRUCTIONS (delete this section before importing)---
FIELD DEFINITIONS:
- category: OVERVIEW | LOADING | STAGE | RIGGING | POWER | AUDIO | LIGHTING | VIDEO | FOH
- item: Specification item name (snake_case)
- value: The value/measurement/answer
- rating: Quality rating 1-5 (optional)
- notes: Additional notes or valid values hint

HOW TO USE:
1. Fill in the value column for each specification
2. Add ratings where applicable (1=Poor, 5=Excellent)
3. Add notes for clarification or issues
4. Delete this instruction section before importing
5. Import via ATLVS > Settings > Data Import > Venue Survey
